argomento,codice,domanda,opzione_a,opzione_b,opzione_c,opzione_d,corretta,riferimento
Primo Soccorso,PS001,In base a quale norma sono disciplinati organizzazione e contenuti minimi del primo soccorso aziendale?,D.M. 388/2003,D.M. 37/2008,D.P.R. 151/2011,D.M. 10/03/1998,A,D.M. 388/2003
Primo Soccorso,PS002,Scenario organizzazione: quale tra le seguenti affermazioni è corretta? In base a quale norma sono disciplinati organizzazione e contenuti minimi del primo soccorso aziendale?,D.P.R. 151/2011,D.M. 10/03/1998,D.M. 388/2003,D.M. 37/2008,C,D.M. 388/2003
Primo Soccorso,PS003,Chi adotta i provvedimenti necessari in materia di primo soccorso in azienda?,Il solo RLS,Ogni lavoratore autonomamente,Il fornitore della cassetta,Il datore di lavoro,D,Art. 45 D.Lgs. 81/2008
Primo Soccorso,PS004,Scenario organizzazione: quale tra le seguenti affermazioni è corretta? Chi adotta i provvedimenti necessari in materia di primo soccorso in azienda?,Il fornitore della cassetta,Il datore di lavoro,Il solo RLS,Ogni lavoratore autonomamente,B,Art. 45 D.Lgs. 81/2008
Primo Soccorso,PS005,Quali aziende rientrano nella classificazione prevista dal D.M. 388/2003?,"Livelli basso, medio e alto",Categorie X e Y,"Gruppi A, B e C","Classi 1, 2 e 3",C,Art. 1 D.M. 388/2003
Primo Soccorso,PS006,Scenario organizzazione: quale tra le seguenti affermazioni è corretta? Quali aziende rientrano nella classificazione prevista dal D.M. 388/2003?,"Gruppi A, B e C","Classi 1, 2 e 3","Livelli basso, medio e alto",Categorie X e Y,A,Art. 1 D.M. 388/2003
Primo Soccorso,PS007,Quanto dura il corso per addetti delle aziende del gruppo A?,12 ore,16 ore,4 ore,8 ore,B,Allegato 3 D.M. 388/2003
Primo Soccorso,PS008,Scenario organizzazione: quale tra le seguenti affermazioni è corretta? Quanto dura il corso per addetti delle aziende del gruppo A?,4 ore,8 ore,12 ore,16 ore,D,Allegato 3 D.M. 388/2003
Primo Soccorso,PS009,Quanto dura il corso per addetti delle aziende dei gruppi B e C?,12 ore,6 ore,10 ore,16 ore,A,Allegato 4 D.M. 388/2003
Primo Soccorso,PS010,Scenario organizzazione: quale tra le seguenti affermazioni è corretta? Quanto dura il corso per addetti delle aziende dei gruppi B e C?,10 ore,16 ore,12 ore,6 ore,C,Allegato 4 D.M. 388/2003
Primo Soccorso,PS011,Con quale frequenza va ripetuta almeno la formazione degli addetti per la capacità di intervento pratico?,Ogni anno,Ogni cinque anni,Solo alla nomina,Ogni tre anni,D,Art. 3 c. 5 D.M. 388/2003
Primo Soccorso,PS012,Scenario organizzazione: quale tra le seguenti affermazioni è corretta? Con quale frequenza va ripetuta almeno la formazione degli addetti per la capacità di intervento pratico?,Solo alla nomina,Ogni tre anni,Ogni anno,Ogni cinque anni,B,Art. 3 c. 5 D.M. 388/2003
Primo Soccorso,PS013,Nelle aziende dei gruppi A e B quale presidio deve essere disponibile?,Solo un DAE,Solo ghiaccio istantaneo,Cassetta di pronto soccorso,Solo un pacchetto di medicazione,C,Art. 2 D.M. 388/2003
Primo Soccorso,PS014,Scenario organizzazione: quale tra le seguenti affermazioni è corretta? Nelle aziende dei gruppi A e B quale presidio deve essere disponibile?,Cassetta di pronto soccorso,Solo un pacchetto di medicazione,Solo un DAE,Solo ghiaccio istantaneo,A,Art. 2 D.M. 388/2003
Primo Soccorso,PS015,Nelle aziende del gruppo C quale presidio minimo è previsto?,Ossigeno medicale,Pacchetto di medicazione,Cassetta da gruppo A obbligatoria,Ambulanza aziendale,B,Art. 2 D.M. 388/2003
Primo Soccorso,PS016,Scenario organizzazione: quale tra le seguenti affermazioni è corretta? Nelle aziende del gruppo C quale presidio minimo è previsto?,Cassetta da gruppo A obbligatoria,Ambulanza aziendale,Ossigeno medicale,Pacchetto di medicazione,D,Art. 2 D.M. 388/2003
Primo Soccorso,PS017,La cassetta di pronto soccorso deve essere custodita come?,In luogo facilmente accessibile e individuabile con segnaletica,In un locale chiuso noto solo al datore,Nel veicolo personale dell’addetto,Lontano dalle aree operative,A,Art. 2 D.M. 388/2003
Primo Soccorso,PS018,Scenario organizzazione: quale tra le seguenti affermazioni è corretta? La cassetta di pronto soccorso deve essere custodita come?,Nel veicolo personale dell’addetto,Lontano dalle aree operative,In luogo facilmente accessibile e individuabile con segnaletica,In un locale chiuso noto solo al datore,C,Art. 2 D.M. 388/2003
Primo Soccorso,PS019,Chi deve controllare completezza e scadenze dei presidi secondo l’organizzazione aziendale?,Esclusivamente il 112,Il lavoratore infortunato,Il produttore dei DPI,Il personale incaricato secondo il piano aziendale,D,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS020,Scenario organizzazione: quale tra le seguenti affermazioni è corretta? Chi deve controllare completezza e scadenze dei presidi secondo l’organizzazione aziendale?,Il produttore dei DPI,Il personale incaricato secondo il piano aziendale,Esclusivamente il 112,Il lavoratore infortunato,B,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS021,A cosa serve il piano di primo soccorso aziendale?,A diagnosticare le malattie,A evitare la chiamata ai soccorsi,"A definire compiti, comunicazioni e procedure di emergenza",A sostituire il DVR,C,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS022,Scenario organizzazione: quale tra le seguenti affermazioni è corretta? A cosa serve il piano di primo soccorso aziendale?,"A definire compiti, comunicazioni e procedure di emergenza",A sostituire il DVR,A diagnosticare le malattie,A evitare la chiamata ai soccorsi,A,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS023,L’addetto al primo soccorso può somministrare liberamente farmaci?,Solo antibiotici,"No, salvo protocolli o indicazioni sanitarie specifiche","Sì, qualsiasi farmaco da banco","Sì, se il collega acconsente",B,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS024,Scenario organizzazione: quale tra le seguenti affermazioni è corretta? L’addetto al primo soccorso può somministrare liberamente farmaci?,"Sì, qualsiasi farmaco da banco","Sì, se il collega acconsente",Solo antibiotici,"No, salvo protocolli o indicazioni sanitarie specifiche",D,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS025,Qual è il limite fondamentale dell’addetto al primo soccorso?,Prestare assistenza senza sostituirsi al personale sanitario,Formulare una diagnosi definitiva,Prescrivere terapie,Certificare l’infortunio,A,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS026,Scenario organizzazione: quale tra le seguenti affermazioni è corretta? Qual è il limite fondamentale dell’addetto al primo soccorso?,Prescrivere terapie,Certificare l’infortunio,Prestare assistenza senza sostituirsi al personale sanitario,Formulare una diagnosi definitiva,C,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS027,Quando vanno attivati i soccorsi sanitari esterni?,Solo dopo 30 minuti,Solo con autorizzazione scritta,Mai se è presente la cassetta,"Quando la situazione è grave, incerta o supera le capacità dell’addetto",D,Art. 45 D.Lgs. 81/2008; INAIL 2018
Primo Soccorso,PS028,Scenario organizzazione: quale tra le seguenti affermazioni è corretta? Quando vanno attivati i soccorsi sanitari esterni?,Mai se è presente la cassetta,"Quando la situazione è grave, incerta o supera le capacità dell’addetto",Solo dopo 30 minuti,Solo con autorizzazione scritta,B,Art. 45 D.Lgs. 81/2008; INAIL 2018
Primo Soccorso,PS029,Perché tutti i lavoratori devono conoscere le procedure di emergenza?,Per evitare ogni chiamata al 112,Per scegliere la terapia,Per attivare rapidamente il sistema e collaborare correttamente,Per sostituire sempre gli addetti,C,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS030,Scenario organizzazione: quale tra le seguenti affermazioni è corretta? Perché tutti i lavoratori devono conoscere le procedure di emergenza?,Per attivare rapidamente il sistema e collaborare correttamente,Per sostituire sempre gli addetti,Per evitare ogni chiamata al 112,Per scegliere la terapia,A,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS031,Qual è la prima verifica prima di avvicinarsi a una persona infortunata?,Il gruppo sanguigno,La sicurezza della scena,La presenza di documenti,L’età della persona,B,ERC Guidelines 2025; INAIL 2018
Primo Soccorso,PS032,Scenario allarme: quale tra le seguenti affermazioni è corretta? Qual è la prima verifica prima di avvicinarsi a una persona infortunata?,La presenza di documenti,L’età della persona,Il gruppo sanguigno,La sicurezza della scena,D,ERC Guidelines 2025; INAIL 2018
Primo Soccorso,PS033,"Se la scena presenta un pericolo non controllabile, cosa deve fare il soccorritore?",Non esporsi e allertare i servizi competenti,Entrare comunque rapidamente,Spostare da solo ogni macchinario,Ignorare il pericolo,A,ERC Guidelines 2025; INAIL 2018
Primo Soccorso,PS034,"Scenario allarme: quale tra le seguenti affermazioni è corretta? Se la scena presenta un pericolo non controllabile, cosa deve fare il soccorritore?",Spostare da solo ogni macchinario,Ignorare il pericolo,Non esporsi e allertare i servizi competenti,Entrare comunque rapidamente,C,ERC Guidelines 2025; INAIL 2018
Primo Soccorso,PS035,Quale numero rappresenta il punto unico europeo di accesso alle emergenze?,1133,1515,199,112,D,"Ministero della Salute, Numero unico 112"
Primo Soccorso,PS036,Scenario allarme: quale tra le seguenti affermazioni è corretta? Quale numero rappresenta il punto unico europeo di accesso alle emergenze?,199,112,1133,1515,B,"Ministero della Salute, Numero unico 112"
